word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou_.started,text_3.started,text_3.stopped,thankyou_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0017058000012184493,0.004387099997984478,1.0023283999980777,,,,,,,,,,,,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
BLUE,blue,c,b,0,0,0,r,0,13.503698600001371,None,0,0,0,3,1.0239204999998037,,,,,1.0196649999998044,1.0239204999998037,1.501937299999554,1.501937299999554,1.501937299999554,6.000622999999905,15.014575799999875,r,0,13.503698600001371,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
BLUE,red,I,r,1,1,0,r,1,1.9408753000025172,None,0,1,1,2,15.030796099999861,,,,,15.015479300000152,15.030796099999861,15.513866599998437,15.513866599998437,15.513866599998437,,17.46352939999997,r,1,1.9408753000025172,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
RED,blue,I,b,2,2,0,b,1,1.796052800000325,None,0,2,2,1,17.479881499999465,,,,,17.470399099998758,17.479881499999465,17.963240900000528,17.963240900000528,17.963240900000528,,19.76314089999869,b,1,1.796052800000325,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
RED,red,C,r,3,3,0,r,1,0.6280342999998538,None,0,3,3,0,19.778990499999054,,,,,19.763995400000567,19.778990499999054,20.262218399999256,20.262218399999256,20.262218399999256,,20.89577030000146,r,1,0.6280342999998538,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
RED,blue,I,b,4,0,1,b,1,1.3108743999982835,None,1,0,4,1,20.912103300001036,,,,,20.89627710000059,20.912103300001036,21.39544979999846,21.39544979999846,21.39544979999846,,22.712087200001406,b,1,1.3108743999982835,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
BLUE,blue,c,b,5,1,1,b,1,1.2886571999988519,None,1,1,5,3,22.728222099998675,,,,,22.71599580000111,22.728222099998675,23.211428200000228,23.211428200000228,23.211428200000228,,24.511746699998184,b,1,1.2886571999988519,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
BLUE,red,I,r,6,2,1,r,1,1.5145310000007157,None,1,2,6,2,24.527927700000873,,,,,24.512996000001294,24.527927700000873,25.010870300000533,25.010870300000533,25.010870300000533,,26.527680399998644,r,1,1.5145310000007157,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
RED,red,C,r,7,3,1,r,1,0.6769554999991669,None,1,3,7,0,26.54354560000138,,,,,26.531825999998546,26.54354560000138,27.026820700000826,27.026820700000826,27.026820700000826,,27.710600700000214,r,1,0.6769554999991669,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
RED,blue,I,b,8,0,2,b,1,1.6453510999999708,None,2,0,8,1,27.72664799999984,,,,,27.71148170000015,27.72664799999984,28.209902800001146,28.209902800001146,28.209902800001146,,29.859816399999545,b,1,1.6453510999999708,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
BLUE,red,I,r,9,1,2,r,1,0.9927113999983703,None,2,1,9,2,29.875755900000513,,,,,29.86427619999813,29.875755900000513,30.359048499998607,30.359048499998607,30.359048499998607,,31.35908019999988,r,1,0.9927113999983703,None,,,,,1,"001",2025-08-25_23h19.39.983,stroop task,,2025.2.0,60.109483412714454,2025-08-25 23h19.40.076762 +0530,
