word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou_.started,text_3.started,text_3.stopped,thankyou_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0017711000036797486,0.004238699999405071,1.0197827000010875,0.9973004999992554,,,,,,,,,,,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
RED,red,C,r,0,0,0,r,1,1.7068332999988343,None,0,0,0,0,1.0197827000010875,,,,,,1.0158217000061995,1.0197827000010875,1.5135217000060948,1.5135217000060948,1.5135217000060948,3.2395510000060312,r,1,1.7068332999988343,None,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
BLUE,red,I,r,1,1,0,r,1,1.1014117999948212,None,0,1,1,2,3.2524556999997003,,,,,,3.2492607000021962,3.2524556999997003,3.7459914999999455,3.7459914999999455,3.7459914999999455,4.863404800002172,r,1,1.1014117999948212,None,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
RED,blue,I,b,2,2,0,b,1,1.0461259000003338,None,0,2,2,1,4.87895810000191,,,,,,4.8685081000003265,4.87895810000191,5.378925299999537,5.378925299999537,5.378925299999537,6.42936240000563,b,1,1.0461259000003338,None,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
BLUE,blue,c,b,3,3,0,b,1,0.5304063000003225,None,0,3,3,3,6.445533900005103,,,,,,6.433789599999727,6.445533900005103,6.928623899999366,6.928623899999366,6.928623899999366,7.462621000006038,b,1,0.5304063000003225,None,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
RED,red,C,r,4,0,1,r,1,0.5456532000025618,None,1,0,4,0,7.47851260000607,,,,,,7.467609200000879,7.47851260000607,7.978291800005536,7.978291800005536,7.978291800005536,8.529162500002712,r,1,0.5456532000025618,None,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
BLUE,blue,c,b,5,1,1,b,1,0.7503247999993619,None,1,1,5,3,8.544899900000019,,,,,,8.53368749999936,8.544899900000019,9.044682400002785,9.044682400002785,9.044682400002785,9.811484500001825,b,1,0.7503247999993619,None,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
RED,blue,I,b,6,2,1,r,0,0.7436586999974679,None,1,2,6,1,9.827551900001708,,,,,,9.815941500004556,9.827551900001708,10.310812200004875,10.310812200004875,10.310812200004875,11.06124180000188,r,0,0.7436586999974679,None,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
BLUE,red,I,r,7,3,1,b,0,0.5864309000025969,None,1,3,7,2,11.076785800003563,,,,,,11.065829800005304,11.076785800003563,11.576923000000534,11.576923000000534,11.576923000000534,12.177508100001432,b,0,0.5864309000025969,None,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
BLUE,red,I,r,8,0,2,r,1,1.2618872000020929,None,2,0,8,2,12.193229500000598,,,,,,12.178494600004342,12.193229500000598,12.676779300003545,12.676779300003545,12.676779300003545,13.943721700001333,r,1,1.2618872000020929,None,,,,,3,"001",2025-08-26_09h37.01.995,stroop task,,2025.2.0,60.15015885681194,2025-08-26 09h37.02.065857 +0530,
